Actions,WIID,Description,Type,Status,Date
,71064688,Generate Yearly Report for Vendor,WI4,Open,2017-08-05
,71064740,Verify Account Position,WI1,Open,2018-09-08
,71064760,Verify Account Position,WI1,Open,2017-12-04
,71064675,Generate Yearly Report for Vendor,WI4,Open,2021-04-08
,71064691,Process Vendor Invoice,WI3,Open,2019-07-15
,71064717,Research Client Check Copy,WI2,Open,2020-05-26
,71064712,Research Client Check Copy,WI2,Open,2020-01-06
,71064719,Research Client Check Copy,WI2,Open,2017-12-17
,71064756,Verify Account Position,WI1,Open,2019-11-12
,71064659,Calculate Client Security Hash,WI5,Open,2020-11-06
,71064688,Generate Yearly Report for Vendor,WI4,Open,2017-08-05
,71064740,Verify Account Position,WI1,Open,2018-09-08
,71064760,Verify Account Position,WI1,Open,2017-12-04
,71064675,Generate Yearly Report for Vendor,WI4,Open,2021-04-08
,71064691,Process Vendor Invoice,WI3,Open,2019-07-15
,71064717,Research Client Check Copy,WI2,Open,2020-05-26
,71064712,Research Client Check Copy,WI2,Open,2020-01-06
,71064719,Research Client Check Copy,WI2,Open,2017-12-17
,71064756,Verify Account Position,WI1,Open,2019-11-12
,71064659,Calculate Client Security Hash,WI5,Open,2020-11-06
